Date_Short,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,V_SPREAD_OPEN,V_SPREAD_CLOSE,TOTAL_OPEN,TOTAL_CLOSE,V_2H_SPREAD,2H_TOTAL
123,20220123,580,H,Minnesota,37,35,30,34,136,1.5,3,-145,115,1.5,3,239,237,1.5,115
123,20220123,581,V,Utah,29,25,21,17,92,221.5,218,110,112,1,2,221.5,218,1,112
123,20220123,582,H,GoldenState,33,22,28,11,94,1,2,-130,1,1,2,221.5,218,1,112
124,20220124,501,V,NewYork,23,27,19,24,93,203,201.5,170,98.5,7.5,4.5,203,201.5,3.5,98.5
124,20220124,502,H,Cleveland,28,22,26,19,95,7.5,4.5,-190,3.5,7.5,4.5,203,201.5,3.5,98.5
124,20220124,507,V,Indiana,32,30,17,34,113,214.5,218,145,106.5,1,4,214.5,218,3.5,106.5
124,20220124,508,H,NewOrleans,31,30,22,34,117,1,4,-165,3.5,1,4,214.5,218,3.5,106.5
124,20220124,509,V,Utah,21,35,31,22,109,222.5,220.5,600,112,7,12.5,222.5,220.5,7.5,112
124,20220124,510,H,Phoenix,31,27,27,30,115,7,12.5,-900,7.5,7,12.5,222.5,220.5,7.5,112
124,20220124,583,V,Chicago,35,23,34,19,111,1.5,1,-110,112,1.5,1,214.5,218,3,112
124,20220124,584,H,OklahomaCity,27,21,30,32,110,214.5,218,-110,3,1.5,1,214.5,218,3,112
125,20220125,511,V,LAClippers,23,13,40,40,116,216,219,175,4.5,5,5,216,219,4.5,111.5
125,20220125,512,H,Washington,32,34,27,22,115,5,5,-200,111.5,5,5,216,219,4.5,111.5
125,20220125,513,V,Denver,34,35,28,13,110,6.5,7,-275,1.5,6.5,7,219,218.5,1.5,107
125,20220125,514,H,Detroit,32,27,26,20,105,219,218.5,235,107,6.5,7,219,218.5,1.5,107
125,20220125,515,V,Charlotte,27,34,25,27,113,221.5,1,-125,4.5,2.5,1,221.5,220.5,4.5,108
125,20220125,516,H,Toronto,39,37,29,20,125,2.5,220.5,105,108,2.5,1,221.5,220.5,4.5,108
125,20220125,517,V,LALakers,33,29,30,14,106,2.5,3.5,-165,109.5,2.5,3.5,226,225,1,109.5
125,20220125,518,H,Brooklyn,25,28,25,18,96,226,225,145,1,2.5,3.5,226,225,1,109.5
125,20220125,519,V,Sacramento,13,17,25,20,75,219,218,350,3,9,9,219,218,3,106.5
125,20220125,520,H,Boston,38,25,34,31,128,9,9,-420,106.5,9,9,219,218,3,106.5
125,20220125,521,V,SanAntonio,34,32,39,29,134,3.5,4.5,-185,114.5,3.5,4.5,235.5,234.5,1.5,114.5
125,20220125,522,H,Houston,23,28,23,30,104,235.5,234.5,165,1.5,3.5,4.5,235.5,234.5,1.5,114.5
125,20220125,523,V,Dallas,20,31,27,14,92,212,212,145,2.5,5,3.5,212,212,2.5,105.5
125,20220125,524,H,GoldenState,29,34,34,33,130,5,3.5,-165,105.5,5,3.5,212,212,2.5,105.5
125,20220125,525,V,Minnesota,26,29,29,25,109,3.5,3,-150,3.5,3.5,3,227.5,234.5,3.5,113.5
125,20220125,526,H,Portland,29,34,19,25,107,227.5,234.5,130,113.5,3.5,3,227.5,234.5,3.5,113.5
125,20220125,585,V,NewOrleans,24,34,28,21,107,215.5,211.5,475,108,9,11.5,215.5,211.5,10.5,108
125,20220125,586,H,Philadelphia,20,30,36,31,117,9,11.5,-650,10.5,9,11.5,215.5,211.5,10.5,108
126,20220126,527,V,LAClippers,23,26,27,35,111,1,213,100,109.5,1,1,210.5,213,1,109.5
126,20220126,528,H,Orlando,25,23,30,24,102,210.5,1,-120,1,1,1,210.5,213,1,109.5
126,20220126,529,V,Charlotte,33,38,42,45,158,225.5,2,-130,1.5,0,2,225.5,229.5,1.5,111
126,20220126,530,H,Indiana,36,34,24,32,126,0,229.5,110,111,0,2,225.5,229.5,1.5,111
126,20220126,531,V,Milwaukee,35,22,20,22,99,4.5,4,-180,4.5,4.5,4,217.5,217.5,4.5,111.5
126,20220126,532,H,Cleveland,26,39,30,20,115,217.5,217.5,160,111.5,4.5,4,217.5,217.5,4.5,111.5
126,20220126,533,V,Sacramento,33,17,24,30,104,233,227,425,110.5,7.5,11,233,227,1.5,110.5
126,20220126,534,H,Atlanta,21,46,27,27,121,7.5,11,-550,1.5,7.5,11,233,227,1.5,110.5
126,20220126,537,V,Memphis,34,27,33,24,118,2,4,-170,2.5,2,4,227.5,228.5,2.5,116.5
126,20220126,538,H,SanAntonio,25,33,28,24,110,227.5,228.5,150,116.5,2,4,227.5,228.5,2.5,116.5
126,20220126,539,V,NewYork,16,30,21,29,96,201,202.5,200,0.5,6,6,201,202.5,0.5,98
126,20220126,540,H,Miami,30,29,33,18,110,6,6,-240,98,6,6,201,202.5,0.5,98
126,20220126,545,V,Phoenix,39,11,24,31,105,1.5,223,-110,114.5,1.5,1,221.5,223,0.5,114.5
126,20220126,546,H,Utah,18,30,16,33,97,221.5,1,-110,0.5,1.5,1,221.5,223,0.5,114.5
